"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"9:37:48.0045895 PM","#Metin2TR.Net_Giris.exe","20680","CreateFile","C:\Windows\SysWOW64\dnsapi.dll","SUCCESS","Desired Access: Read Control, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:37:48.0046173 PM","#Metin2TR.Net_Giris.exe","20680","QuerySecurityFile","C:\Windows\SysWOW64\dnsapi.dll","BUFFER OVERFLOW","Information: Owner"
"9:37:48.0046266 PM","#Metin2TR.Net_Giris.exe","20680","QuerySecurityFile","C:\Windows\SysWOW64\dnsapi.dll","SUCCESS","Information: Owner"
"9:37:48.0046347 PM","#Metin2TR.Net_Giris.exe","20680","CloseFile","C:\Windows\SysWOW64\dnsapi.dll","SUCCESS",""
"9:37:48.0046706 PM","#Metin2TR.Net_Giris.exe","20680","QueryNameInformationFile","C:\Windows\SysWOW64\dnsapi.dll","SUCCESS","Name: \Windows\SysWOW64\dnsapi.dll"
"9:37:48.0046878 PM","#Metin2TR.Net_Giris.exe","20680","QueryNameInformationFile","C:\Windows\SysWOW64\dnsapi.dll","SUCCESS","Name: \Windows\SysWOW64\dnsapi.dll"
"9:37:48.0048408 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:37:48.0048491 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryKey","HKLM","SUCCESS","Query: Name"
"9:37:48.0048621 PM","#Metin2TR.Net_Giris.exe","20680","RegOpenKey","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters\Interfaces","REPARSE","Desired Access: Read"
"9:37:48.0048742 PM","#Metin2TR.Net_Giris.exe","20680","RegOpenKey","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters\Interfaces","SUCCESS","Desired Access: Read"
"9:37:48.0048877 PM","#Metin2TR.Net_Giris.exe","20680","RegSetInfoKey","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters\Interfaces","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"9:37:48.0048992 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:37:48.0049064 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryKey","HKLM","SUCCESS","Query: Name"
"9:37:48.0049170 PM","#Metin2TR.Net_Giris.exe","20680","RegOpenKey","HKLM\System\CurrentControlSet\Services\Tcpip6\Parameters\Interfaces","REPARSE","Desired Access: Read"
"9:37:48.0049266 PM","#Metin2TR.Net_Giris.exe","20680","RegOpenKey","HKLM\System\CurrentControlSet\Services\Tcpip6\Parameters\Interfaces","SUCCESS","Desired Access: Read"
"9:37:48.0049367 PM","#Metin2TR.Net_Giris.exe","20680","RegSetInfoKey","HKLM\System\CurrentControlSet\Services\Tcpip6\Parameters\Interfaces","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"9:37:48.0049740 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:37:48.0049814 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryKey","HKLM","SUCCESS","Query: Name"
"9:37:48.0049937 PM","#Metin2TR.Net_Giris.exe","20680","RegCreateKey","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters","REPARSE","Desired Access: Read"
"9:37:48.0050155 PM","#Metin2TR.Net_Giris.exe","20680","RegCreateKey","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters","SUCCESS","Desired Access: Read, Disposition: REG_OPENED_EXISTING_KEY"
"9:37:48.0050311 PM","#Metin2TR.Net_Giris.exe","20680","RegSetInfoKey","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"9:37:48.0050435 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:37:48.0050507 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryKey","HKLM","SUCCESS","Query: Name"
"9:37:48.0050632 PM","#Metin2TR.Net_Giris.exe","20680","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Services\Dnscache\Parameters","REPARSE","Desired Access: Read"
"9:37:48.0050726 PM","#Metin2TR.Net_Giris.exe","20680","RegOpenKey","HKLM\System\CurrentControlSet\Services\Dnscache\Parameters","SUCCESS","Desired Access: Read"
"9:37:48.0050829 PM","#Metin2TR.Net_Giris.exe","20680","RegSetInfoKey","HKLM\System\CurrentControlSet\Services\Dnscache\Parameters","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"9:37:48.0050939 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:37:48.0051026 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryKey","HKLM","SUCCESS","Query: Name"
"9:37:48.0051155 PM","#Metin2TR.Net_Giris.exe","20680","RegOpenKey","HKLM\Software\WOW6432Node\Policies\Microsoft\Windows NT\DnsClient","REPARSE","Desired Access: Read"
"9:37:48.0051274 PM","#Metin2TR.Net_Giris.exe","20680","RegOpenKey","HKLM\SOFTWARE\Policies\Microsoft\Windows NT\DnsClient","NAME NOT FOUND","Desired Access: Read"
"9:37:48.0051419 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryValue","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters\Hostname","BUFFER OVERFLOW","Length: 12"
"9:37:48.0051532 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryValue","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters\Hostname","SUCCESS","Type: REG_SZ, Length: 18, Data: VO94MXQH"
"9:37:48.0051641 PM","#Metin2TR.Net_Giris.exe","20680","RegCloseKey","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters","SUCCESS",""
"9:37:48.0051724 PM","#Metin2TR.Net_Giris.exe","20680","RegCloseKey","HKLM\System\CurrentControlSet\Services\Dnscache\Parameters","SUCCESS",""
"9:37:48.0051837 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:37:48.0051910 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryKey","HKLM","SUCCESS","Query: Name"
"9:37:48.0052020 PM","#Metin2TR.Net_Giris.exe","20680","RegCreateKey","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters","REPARSE","Desired Access: Read"
"9:37:48.0052211 PM","#Metin2TR.Net_Giris.exe","20680","RegCreateKey","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters","SUCCESS","Desired Access: Read, Disposition: REG_OPENED_EXISTING_KEY"
"9:37:48.0052351 PM","#Metin2TR.Net_Giris.exe","20680","RegSetInfoKey","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"9:37:48.0052488 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:37:48.0052563 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryKey","HKLM","SUCCESS","Query: Name"
"9:37:48.0052666 PM","#Metin2TR.Net_Giris.exe","20680","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Services\Dnscache\Parameters","REPARSE","Desired Access: Read"
"9:37:48.0052764 PM","#Metin2TR.Net_Giris.exe","20680","RegOpenKey","HKLM\System\CurrentControlSet\Services\Dnscache\Parameters","SUCCESS","Desired Access: Read"
"9:37:48.0052857 PM","#Metin2TR.Net_Giris.exe","20680","RegSetInfoKey","HKLM\System\CurrentControlSet\Services\Dnscache\Parameters","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"9:37:48.0052962 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:37:48.0053035 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryKey","HKLM","SUCCESS","Query: Name"
"9:37:48.0053149 PM","#Metin2TR.Net_Giris.exe","20680","RegOpenKey","HKLM\Software\WOW6432Node\Policies\Microsoft\Windows NT\DnsClient","REPARSE","Desired Access: Read"
"9:37:48.0053249 PM","#Metin2TR.Net_Giris.exe","20680","RegOpenKey","HKLM\SOFTWARE\Policies\Microsoft\Windows NT\DnsClient","NAME NOT FOUND","Desired Access: Read"
"9:37:48.0053346 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryValue","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters\Hostname","BUFFER OVERFLOW","Length: 12"
"9:37:48.0053438 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryValue","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters\Hostname","SUCCESS","Type: REG_SZ, Length: 18, Data: VO94MXQH"
"9:37:48.0053532 PM","#Metin2TR.Net_Giris.exe","20680","RegCloseKey","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters","SUCCESS",""
"9:37:48.0053612 PM","#Metin2TR.Net_Giris.exe","20680","RegCloseKey","HKLM\System\CurrentControlSet\Services\Dnscache\Parameters","SUCCESS",""
"9:37:48.0053723 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:37:48.0053797 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryKey","HKLM","SUCCESS","Query: Name"
"9:37:48.0053904 PM","#Metin2TR.Net_Giris.exe","20680","RegCreateKey","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters","REPARSE","Desired Access: Read"
"9:37:48.0054094 PM","#Metin2TR.Net_Giris.exe","20680","RegCreateKey","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters","SUCCESS","Desired Access: Read, Disposition: REG_OPENED_EXISTING_KEY"
"9:37:48.0054231 PM","#Metin2TR.Net_Giris.exe","20680","RegSetInfoKey","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"9:37:48.0054341 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:37:48.0054413 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryKey","HKLM","SUCCESS","Query: Name"
"9:37:48.0054517 PM","#Metin2TR.Net_Giris.exe","20680","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Services\Dnscache\Parameters","REPARSE","Desired Access: Read"
"9:37:48.0054611 PM","#Metin2TR.Net_Giris.exe","20680","RegOpenKey","HKLM\System\CurrentControlSet\Services\Dnscache\Parameters","SUCCESS","Desired Access: Read"
"9:37:48.0054702 PM","#Metin2TR.Net_Giris.exe","20680","RegSetInfoKey","HKLM\System\CurrentControlSet\Services\Dnscache\Parameters","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"9:37:48.0054807 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:37:48.0054880 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryKey","HKLM","SUCCESS","Query: Name"
"9:37:48.0054993 PM","#Metin2TR.Net_Giris.exe","20680","RegOpenKey","HKLM\Software\WOW6432Node\Policies\Microsoft\Windows NT\DnsClient","REPARSE","Desired Access: Read"
"9:37:48.0055089 PM","#Metin2TR.Net_Giris.exe","20680","RegOpenKey","HKLM\SOFTWARE\Policies\Microsoft\Windows NT\DnsClient","NAME NOT FOUND","Desired Access: Read"
"9:37:48.0055214 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:37:48.0055284 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryKey","HKLM","SUCCESS","Query: Name"
"9:37:48.0055396 PM","#Metin2TR.Net_Giris.exe","20680","RegOpenKey","HKLM\Software\WOW6432Node\Policies\Microsoft\System\DNSClient","REPARSE","Desired Access: Query Value"
"9:37:48.0055494 PM","#Metin2TR.Net_Giris.exe","20680","RegOpenKey","HKLM\SOFTWARE\Policies\Microsoft\System\DNSClient","NAME NOT FOUND","Desired Access: Query Value"
"9:37:48.0055597 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryValue","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters\Domain","BUFFER OVERFLOW","Length: 12"
"9:37:48.0055688 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryValue","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters\Domain","SUCCESS","Type: REG_SZ, Length: 2, Data: "
"9:37:48.0055784 PM","#Metin2TR.Net_Giris.exe","20680","RegCloseKey","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters","SUCCESS",""
"9:37:48.0055866 PM","#Metin2TR.Net_Giris.exe","20680","RegCloseKey","HKLM\System\CurrentControlSet\Services\Dnscache\Parameters","SUCCESS",""
"9:37:48.0057369 PM","#Metin2TR.Net_Giris.exe","20680","CreateFile","C:\Program Files (x86)\Bonjour\mdnsNSP.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:37:48.0057618 PM","#Metin2TR.Net_Giris.exe","20680","QueryBasicInformationFile","C:\Program Files (x86)\Bonjour\mdnsNSP.dll","SUCCESS","CreationTime: 8/12/2015 4:03:38 PM, LastAccessTime: 7/14/2025 9:37:45 PM, LastWriteTime: 8/12/2015 4:03:38 PM, ChangeTime: 6/20/2025 8:18:07 AM, FileAttributes: A"
"9:37:48.0057751 PM","#Metin2TR.Net_Giris.exe","20680","CloseFile","C:\Program Files (x86)\Bonjour\mdnsNSP.dll","SUCCESS",""
"9:37:48.0058477 PM","#Metin2TR.Net_Giris.exe","20680","CreateFile","C:\Program Files (x86)\Bonjour\mdnsNSP.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:37:48.0058760 PM","#Metin2TR.Net_Giris.exe","20680","CreateFileMapping","C:\Program Files (x86)\Bonjour\mdnsNSP.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE"
"9:37:48.0058937 PM","#Metin2TR.Net_Giris.exe","20680","CreateFileMapping","C:\Program Files (x86)\Bonjour\mdnsNSP.dll","SUCCESS","SyncType: SyncTypeOther"
"9:37:48.0059560 PM","#Metin2TR.Net_Giris.exe","20680","Load Image","C:\Program Files (x86)\Bonjour\mdnsNSP.dll","SUCCESS","Image Base: 0x633a0000, Image Size: 0x21000"
"9:37:48.0059966 PM","#Metin2TR.Net_Giris.exe","20680","RegOpenKey","HKLM\Software\WOW6432Node\Policies\Microsoft\MUI\Settings","REPARSE","Desired Access: Read"
"9:37:48.0060104 PM","#Metin2TR.Net_Giris.exe","20680","RegOpenKey","HKLM\SOFTWARE\Policies\Microsoft\MUI\Settings","NAME NOT FOUND","Desired Access: Read"
"9:37:48.0060261 PM","#Metin2TR.Net_Giris.exe","20680","RegOpenKey","HKCU","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"9:37:48.0060448 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:37:48.0060564 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryKey","HKCU","SUCCESS","Query: Name"
"9:37:48.0060690 PM","#Metin2TR.Net_Giris.exe","20680","RegOpenKey","HKCU\Software\Policies\Microsoft\Control Panel\Desktop","NAME NOT FOUND","Desired Access: Read"
"9:37:48.0060834 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
